File Name,Hot Pixel Count
Masks/image_0.png,1224
Masks/image_1.png,1194
Masks/image_2.png,1137
Masks/image_3.png,1164
Masks/image_4.png,1182
Masks/image_5.png,994
Masks/image_6.png,1119
Masks/image_7.png,1216
Masks/image_8.png,1033
Masks/image_9.png,1062
Masks/image_10.png,1042
Masks/image_11.png,1025
Masks/image_12.png,1011
Masks/image_13.png,1043
Masks/image_14.png,1027
Masks/image_15.png,1037
Masks/image_16.png,1065
Masks/image_17.png,1113
Masks/image_18.png,1098
Masks/image_19.png,1122
Masks/image_20.png,1147
Masks/image_21.png,1171
Masks/image_22.png,1185
Masks/image_23.png,1164
Masks/image_24.png,1152
Masks/image_25.png,1101
Masks/image_26.png,1162
Masks/image_27.png,1212
Masks/image_28.png,1121
Masks/image_29.png,1135
Masks/image_30.png,1162
Masks/image_31.png,1174
Masks/image_32.png,987
Masks/image_33.png,1019
Masks/image_34.png,1028
Masks/image_35.png,1037
Masks/image_36.png,1084
Masks/image_37.png,1129
Masks/image_38.png,1202
Masks/image_39.png,1243
Masks/image_40.png,1255
Masks/image_41.png,1124
Masks/image_42.png,1027
Masks/image_43.png,1086
Masks/image_44.png,932
Masks/image_45.png,833
Masks/image_46.png,902
Masks/image_47.png,925
Masks/image_48.png,986
Masks/image_49.png,1030
Masks/image_50.png,975
Masks/image_51.png,1045
Masks/image_52.png,1070
Masks/image_53.png,906
Masks/image_54.png,868
Masks/image_55.png,930
Masks/image_56.png,909
Masks/image_57.png,869
Masks/image_58.png,832
Masks/image_59.png,858
Masks/image_60.png,844
Masks/image_61.png,879
Masks/image_62.png,914
Masks/image_63.png,959
Masks/image_64.png,1009
Masks/image_65.png,1014
Masks/image_66.png,1011
Masks/image_67.png,1047
Masks/image_68.png,1059
Masks/image_69.png,976
Masks/image_70.png,849
Masks/image_71.png,847
Masks/image_72.png,985
Masks/image_73.png,980
Masks/image_74.png,1048
Masks/image_75.png,978
Masks/image_76.png,946
Masks/image_77.png,976
Masks/image_78.png,1026
Masks/image_79.png,1067
Masks/image_80.png,1066
Masks/image_81.png,1078
Masks/image_82.png,1162
Masks/image_83.png,1121
Masks/image_84.png,1061
Masks/image_85.png,1010
Masks/image_86.png,938
Masks/image_87.png,988
Masks/image_88.png,986
Masks/image_89.png,977
Masks/image_90.png,912
Masks/image_91.png,833
Masks/image_92.png,820
Masks/image_93.png,853
Masks/image_94.png,873
Masks/image_95.png,842
Masks/image_96.png,895
Masks/image_97.png,929
Masks/image_98.png,842
Masks/image_99.png,822
Masks/image_100.png,840
Masks/image_101.png,848
Masks/image_102.png,829
Masks/image_103.png,813
Masks/image_104.png,862
Masks/image_105.png,801
Masks/image_106.png,811
Masks/image_107.png,736
Masks/image_108.png,749
Masks/image_109.png,769
Masks/image_110.png,793
Masks/image_111.png,762
Masks/image_112.png,792
Masks/image_113.png,757
Masks/image_114.png,806
Masks/image_115.png,856
Masks/image_116.png,852
Masks/image_117.png,798
Masks/image_118.png,819
Masks/image_119.png,831
Masks/image_120.png,850
Masks/image_121.png,867
Masks/image_122.png,922
Masks/image_123.png,859
Masks/image_124.png,899
Masks/image_125.png,958
Masks/image_126.png,906
Masks/image_127.png,865
Masks/image_128.png,837
Masks/image_129.png,753
Masks/image_130.png,786
Masks/image_131.png,784
Masks/image_132.png,744
Masks/image_133.png,797
Masks/image_134.png,792
Masks/image_135.png,812
Masks/image_136.png,873
Masks/image_137.png,856
Masks/image_138.png,897
Masks/image_139.png,858
Masks/image_140.png,801
Masks/image_141.png,743
Masks/image_142.png,748
Masks/image_143.png,619
Masks/image_144.png,669
Masks/image_145.png,654
Masks/image_146.png,728
Masks/image_147.png,688
Masks/image_148.png,687
Masks/image_149.png,649
Masks/image_150.png,686
Masks/image_151.png,714
Masks/image_152.png,671
Masks/image_153.png,704
Masks/image_154.png,760
Masks/image_155.png,715
Masks/image_156.png,846
Masks/image_157.png,836
Masks/image_158.png,943
Masks/image_159.png,1026
Masks/image_160.png,1078
Masks/image_161.png,1063
Masks/image_162.png,1189
Masks/image_163.png,1187
Masks/image_164.png,1260
Masks/image_165.png,1437
Masks/image_166.png,1596
Masks/image_167.png,1549
Masks/image_168.png,1665
Masks/image_169.png,1880
Masks/image_170.png,1921
Masks/image_171.png,1816
Masks/image_172.png,1800
Masks/image_173.png,1588
Masks/image_174.png,1601
Masks/image_175.png,1640
Masks/image_176.png,1764
Masks/image_177.png,1705
Masks/image_178.png,1803
Masks/image_179.png,1790
Masks/image_180.png,1625
Masks/image_181.png,1653
Masks/image_182.png,1755
Masks/image_183.png,1778
Masks/image_184.png,1772
Masks/image_185.png,1875
Masks/image_186.png,1794
Masks/image_187.png,1974
Masks/image_188.png,2004
Masks/image_189.png,1982
Masks/image_190.png,2024
Masks/image_191.png,1956
Masks/image_192.png,1930
Masks/image_193.png,2066
Masks/image_194.png,1836
Masks/image_195.png,1960
Masks/image_196.png,1893
Masks/image_197.png,1842
Masks/image_198.png,1846
Masks/image_199.png,1768
Masks/image_200.png,1609
Masks/image_201.png,1509
Masks/image_202.png,1531
Masks/image_203.png,1589
Masks/image_204.png,1575
Masks/image_205.png,1638
Masks/image_206.png,1688
Masks/image_207.png,1805
Masks/image_208.png,1445
Masks/image_209.png,1612
Masks/image_210.png,1635
Masks/image_211.png,1673
Masks/image_212.png,1596
Masks/image_213.png,1528
Masks/image_214.png,1511
Masks/image_215.png,1625
Masks/image_216.png,1622
Masks/image_217.png,1693
Masks/image_218.png,1738
Masks/image_219.png,1791
Masks/image_220.png,1637
Masks/image_221.png,1694
Masks/image_222.png,1722
Masks/image_223.png,1651
Masks/image_224.png,1700
Masks/image_225.png,1802
Masks/image_226.png,1787
Masks/image_227.png,1828
Masks/image_228.png,1815
Masks/image_229.png,1848
Masks/image_230.png,1832
Masks/image_231.png,1786
Masks/image_232.png,1759
Masks/image_233.png,1888
Masks/image_234.png,1804
Masks/image_235.png,1883
Masks/image_236.png,1920
Masks/image_237.png,1931
Masks/image_238.png,1702
Masks/image_239.png,1699
Masks/image_240.png,1448
Masks/image_241.png,1400
Masks/image_242.png,1331
Masks/image_243.png,1424
Masks/image_244.png,1416
Masks/image_245.png,1679
Masks/image_246.png,1672
Masks/image_247.png,1812
Masks/image_248.png,1668
Masks/image_249.png,1745
Masks/image_250.png,1857
Masks/image_251.png,1785
Masks/image_252.png,1784
Masks/image_253.png,2039
Masks/image_254.png,1844
Masks/image_255.png,1861
Masks/image_256.png,1435
Masks/image_257.png,1430
Masks/image_258.png,1607
Masks/image_259.png,1387
Masks/image_260.png,1430
Masks/image_261.png,1378
Masks/image_262.png,1396
Masks/image_263.png,1457
Masks/image_264.png,1278
Masks/image_265.png,1449
Masks/image_266.png,1506
Masks/image_267.png,1612
Masks/image_268.png,1554
Masks/image_269.png,1595
Masks/image_270.png,1453
Masks/image_271.png,1438
Masks/image_272.png,1277
Masks/image_273.png,1262
Masks/image_274.png,1273
Masks/image_275.png,1313
Masks/image_276.png,1252
Masks/image_277.png,1421
Masks/image_278.png,1405
Masks/image_279.png,1292
Masks/image_280.png,1212
Masks/image_281.png,1276
Masks/image_282.png,1331
Masks/image_283.png,1472
Masks/image_284.png,1423
Masks/image_285.png,1469
Masks/image_286.png,1385
Masks/image_287.png,1380
Masks/image_288.png,1301
Masks/image_289.png,1407
Masks/image_290.png,1404
Masks/image_291.png,1335
Masks/image_292.png,1454
Masks/image_293.png,1426
Masks/image_294.png,1314
Masks/image_295.png,1198
Masks/image_296.png,1246
Masks/image_297.png,1286
Masks/image_298.png,1209
Masks/image_299.png,1337
Masks/image_300.png,1420
Masks/image_301.png,1291
Masks/image_302.png,805
Masks/image_303.png,341
Masks/image_304.png,217
Masks/image_305.png,250
Masks/image_306.png,284
Masks/image_307.png,311
Masks/image_308.png,360
Masks/image_309.png,415
Masks/image_310.png,445
Masks/image_311.png,495
Masks/image_312.png,530
Masks/image_313.png,551
Masks/image_314.png,591
Masks/image_315.png,646
Masks/image_316.png,696
Masks/image_317.png,739
Masks/image_318.png,742
Masks/image_319.png,708
Masks/image_320.png,688
Masks/image_321.png,649
Masks/image_322.png,655
Masks/image_323.png,533
Masks/image_324.png,476
Masks/image_325.png,440
Masks/image_326.png,405
Masks/image_327.png,338
Masks/image_328.png,322
Masks/image_329.png,305
Masks/image_330.png,373
Masks/image_331.png,342
Masks/image_332.png,92
Masks/image_333.png,134
Masks/image_334.png,176
Masks/image_335.png,178
Masks/image_336.png,196
Masks/image_337.png,262
Masks/image_338.png,379
Masks/image_339.png,347
Masks/image_340.png,215
Masks/image_341.png,172
Masks/image_342.png,195
Masks/image_343.png,220
Masks/image_344.png,210
Masks/image_345.png,254
Masks/image_346.png,320
